1	RD	06:20-13:20	06:20-13:20	06:20-13:20	06:20-13:20	06:20-13:20	RD
2	07:15-15:45	06:20-13:50	RD	RD	06:20-13:50	06:20-13:50	06:20-14:50
3	RD	06:20-13:50	06:20-13:50	06:20-13:50	06:20-13:50	06:20-13:50	RD
4	07:15-15:45	06:20-14:20	06:20-14:20	06:20-14:20	06:20-14:20	RD	15:55-23:55
5	RD	RD	07:00-15:00	07:00-15:00	07:00-15:00	07:00-15:00	06:20-14:50
6	SP	SP	SP	SP	SP	SP	SP
7	RD	RD	07:00-15:00	07:00-15:00	07:00-15:00	07:00-15:00	12:00-20:00
8	07:15-15:45	07:00-15:00	RD	RD	07:00-15:00	07:00-15:00	07:00-15:00
9	10:00-18:30	13:00-21:30	13:00-21:30	13:00-21:30	RD	RD	06:20-14:20
10	RD	13:00-21:30	13:00-21:30	13:00-21:30	13:00-21:30	13:00-21:30	RD
11	RD	13:00-21:30	13:00-21:30	13:00-21:30	13:00-21:30	13:00-21:30	RD
12	SP	SP	SP	SP	SP	SP	SP
13	14:00-22:00	14:00-22:30	RD	RD	14:00-22:30	14:00-22:30	13:00-21:30
14	15:25-23:25	16:25-23:55	16:25-23:55	RD	RD	15:00-23:00	15:00-23:00
15	RD	RD	16:25-23:55	16:25-23:55	16:25-23:55	16:25-23:55	RD
16	15:25-23:25	16:25-23:55	16:25-23:55	16:25-23:55	RD	RD	07:00-15:00
17	14:00-22:00	RD	RD	16:25-23:55	16:25-23:55	16:25-23:55	15:55-23:55
18	SP	SP	SP	SP	SP	SP	SP
19	RD	06:20-13:50	06:20-13:50	13:00-21:30	13:00-21:30	13:00-21:30	13:00-21:30
20	RD	RD	14:00-22:30	14:00-22:30	16:25-23:55	16:25-23:55	15:55-23:55
21	15:25-23:25	16:25-23:55	RD	RD	RD	06:20-14:20	06:20-14:20
22	07:15-15:45	07:00-15:00	07:00-15:00	07:00-15:00	RD	RD	RD
23	RD	14:00-22:30	14:00-22:30	14:00-22:30	14:00-22:30	RD	RD
24	SP	SP	SP	SP	SP	SP	SP
